COMMUNITY_ID,COMMUNITY_NAME,DESCRIPTION
co1039353,ＩＳシャルロッ党,"このコミュニティは<b><font color=orange><font size=3>シャルル・デュノア</font></font></b>を愛する人達のコミュニティです。<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]<b><font color=crimzon><font size=3>このコミュニティでは各々がこのコミュニティを使い生放送をすることを許可しています。</font></font></b><br>[￥Ｎ][￥Ｎ]放送内容はシャルルやＩＳに関することです。<br>[￥Ｎ][￥Ｎ]※詳しくは下記の生主規則を読んでください。<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]…………………………………………………………………………………………<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]<font color=gold>シャルロット・デュノア</font><br>[￥Ｎ][￥Ｎ]声 - 花澤香菜<br>[￥Ｎ][￥Ｎ]本作のヒロインの1人。<br>[￥Ｎ][￥Ｎ]IS学園の1年1組に所属。フランスの代表候補生。<br>[￥Ｎ][￥Ｎ]中性的な顔立ちで、金髪を首の後ろで束ね、スマートな体型をしている。初登場時（2巻）では男装し、他にも存在した男性操縦者という触れ込みで、「シャルル・デュノア」を名乗ってIS学園に転入してきた。<br>[￥Ｎ][￥Ｎ]実子ではあるが社長である父親の愛人の娘であり、母親の死後に引き取られたデュノア家に居場所はなく、自分の意志と関係なくIS開発のための道具として扱われてきた。<br>[￥Ｎ][￥Ｎ][￥Ｎ][￥Ｎ]IS学園へ転入したのも実家であるデュノア社がIS開発の遅れによる経営危機に陥り、社のアピールのため世間の注目を集めさせ、一夏に接近して彼とそのISである「白式」のデータを盗めという社長命令によるものであった。<br>[￥Ｎ][￥Ｎ]当初、男同士ということで一夏と部屋も同室となり、訓練や私生活を通して友情を深めていたが、ふとした事から女性であることが彼に露見してしまう、後に一夏へ真相を告げ学園を去ろうとするが、彼の真摯な説得で思いとどまり、同時に自分の居場所を作ってくれた彼に好意を抱くようになる。その際、シャルロットでは呼びにくいという理由から、一夏によって「シャル」という愛称を付けられる。<br>[￥Ｎ][￥Ｎ]その後、実家と決別して本来の名と性別で再入学を果たす。再入学後はラウラとルームメイトになり、年頃の少女の感覚に疎いラウラの世話を焼いたりすることもある。部活動は料理部に所属。[￥Ｎ][￥Ｎ]男装していた時の名残で現在も一人称は「僕」（先生の前では「私」）。機転の効く性格で包容力があり、誰に対してもさりげなく気を回す反面、一夏へのアプローチは後先を考えないかなり大胆な部分がある。一夏曰く「怒らせると一番怖い」。[￥Ｎ][￥Ｎ]専用ISは「ラファール・リヴァイヴ・カスタムII」。<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]…………………………………………………………………………………………<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]<b><font color=goldenrod><font size=3>注意事項</font></font></b><br>[￥Ｎ][￥Ｎ]<font size=""4""><font color=""deeppink""><b>Ⅰ</b></font><b>  シャルを好きであること</b></font><br/>[￥Ｎ][￥Ｎ]<font size=""4""><font color=""deeppink""><b>Ⅱ</b></font><b>  他のキャラ、党、党員批判はしないこと</b></font><br>[￥Ｎ][￥Ｎ]<font size=""4""><font color=""deeppink""><b>Ⅲ</b></font><b>  嫁宣言、ぶひ発言はしないでください（荒らしとみなされるかもしれません）</b></font><br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]…………………………………………………………………………………………<br>[￥Ｎ][￥Ｎ]<br>    [￥Ｎ][￥Ｎ]<font size=""3""><font color=""crimzon""><b>生主規則</b></font></font><br />[￥Ｎ][￥Ｎ]<b>・自コミュ、他コミュの宣伝は<b>「積極的には」</b>行わない（宣伝自体はＯＫ）</b><br>[￥Ｎ][￥Ｎ]<b>・ＢＡＮになりかねないことは避けてください</b><br>[￥Ｎ][￥Ｎ]<b>・コミュ詳細の注意事項を守る</b><br>[￥Ｎ][￥Ｎ]<b>・生主としてのマナーを守る</b><br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]…………………………………………………………………………………………<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]<b><font color=deeppink>また放送内では、シャルル以外のヒロインの魅力を語ることも許可しています。</font></b><br>[￥Ｎ][￥Ｎ]<b>全キャラ可愛いことは周知の事実だと思います。</b><br>[￥Ｎ][￥Ｎ]<b><font color=orange><font size=3>「全員可愛いが、シャルルこそが俺の真のジャスティス」</font></font></b><br>[￥Ｎ][￥Ｎ]この精神を守った上で他のキャラの魅力を語ることを許可します。<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]<b>皆さんが更にＩＳを・・・</b><br>[￥Ｎ][￥Ｎ]<b><font color=gold><font size=3>そして何よりシャルルを愛することを願います。</font></font></b><br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]…………………………………………………………………………………………<br>[￥Ｎ][￥Ｎ]<b><font size=4>この党は以下の党と連立しています。</font></b><br>[￥Ｎ][￥Ｎ]<b><font color=gold>のほほん党</font></b>:co1060205<br>[￥Ｎ][￥Ｎ]のほほんさんも大好きという人はこちらにも是非足を運んでみてください。<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ][￥Ｎ][￥Ｎ]<b><font color=crimzon>蘭党（いもう党）</font></b><b>:co1068151</b><br>[￥Ｎ][￥Ｎ]蘭が好きな人はこちらにも足をお運びください。<br>[￥Ｎ][￥Ｎ]"
co1396502,のんびり放送局,26歳の社会人がのんびり放送です<br>[￥Ｎ][￥Ｎ][￥Ｎ][￥Ｎ]主な放送内容<br>[￥Ｎ][￥Ｎ]顔出し<br>  [￥Ｎ][￥Ｎ]車載<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]コミュリンク＞<br>[￥Ｎ][￥Ｎ]れーがさんのコミュ<br>[￥Ｎ][￥Ｎ]co1427130<br>[￥Ｎ][￥Ｎ]↑エボXで車載をしています<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]PK@ジェイル宗さんのコミュ<br>[￥Ｎ][￥Ｎ]co401652<br>[￥Ｎ][￥Ｎ]↑むこがかわいい放送（主もかわいいです）<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ] 真冬さんのコミュ<br>[￥Ｎ][￥Ｎ]co1641127<br>[￥Ｎ][￥Ｎ]↑GT5や rFactorの放送してます<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]DwMAX公式生放送<br>[￥Ｎ][￥Ｎ]co1483606<br>[￥Ｎ][￥Ｎ]↑大手チームさんのコミュです<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]ケンケンP☆さんのコミュ<br>[￥Ｎ][￥Ｎ]co336809<br>[￥Ｎ][￥Ｎ]↑GTAやBO2などをやっています<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]気まぐれまさ(*′ω`)さんのコミュ<br>[￥Ｎ][￥Ｎ]co1305773<br>[￥Ｎ][￥Ｎ]↑岐阜の車載主さんです<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]柊みゅうさんのコミュ<br>[￥Ｎ][￥Ｎ]co1508229<br>[￥Ｎ][￥Ｎ]↑スネークの声真似がうまいかたです　BO2放送もしています<br>[￥Ｎ][￥Ｎ]<br> [￥Ｎ][￥Ｎ]風遊さんのコミュ<br> [￥Ｎ][￥Ｎ]co1397068<br> [￥Ｎ][￥Ｎ]↑雑談枠　歌枠などなどやっております<br> [￥Ｎ][￥Ｎ]元気になる放送ですよー<br> [￥Ｎ][￥Ｎ]<br> [￥Ｎ][￥Ｎ]4∞B∞/芝部さんのコミュ<br>[￥Ｎ][￥Ｎ]co1909612<br>[￥Ｎ][￥Ｎ]↑歌枠などなどとても楽しい放送です<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]YUMEさんのコミュ<br>[￥Ｎ][￥Ｎ]co401408<br>[￥Ｎ][￥Ｎ]↑DJ枠をやって見えます　楽しいですよ<br>[￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]椎名*優さんのコミュ<br>[￥Ｎ][￥Ｎ]co2041880<br>[￥Ｎ][￥Ｎ]↑雑談です<br> [￥Ｎ][￥Ｎ]<br>[￥Ｎ][￥Ｎ]がーくん88さんのコミュ <br> [￥Ｎ][￥Ｎ]co2165633 <br> [￥Ｎ][￥Ｎ]↑歌枠とか雑談とか　とても楽しい放送です（イケメンです） <br> [￥Ｎ][￥Ｎ] <br>[￥Ｎ][￥Ｎ]Tigerさんのコミュ <br>[￥Ｎ][￥Ｎ]co2240983 <br>[￥Ｎ][￥Ｎ]↑雑談主でとっても面白い方です（馬とか言わないのよ？） <br>[￥Ｎ][￥Ｎ]
co224639,たこねるっ,滅多に放送しませんっ(｡´・ω・`。)
co247977,17.8MHz クロムの実況雑技談,"<font color=""ff3300"" size=""4"">17.8MHz クロムの実況雑技談</font><br><br>どうもこんにちは。<br><br>実況、雑談、その他諸々一人で遣って退ける　<font color=""ff5555"" size=""3"">ChromeBread</font>　と言います。<br><br>クロムの実況雑技談では、<br>ゲーム（レトロ含め）を生放送！注目のラインナップをお届け！！<br>「普通の実況」「ネタが尽きにくい雑談」<br>「実況がシカゴタイプライター」「プレイ自体は超ド下手」<br>「サッカー、野球、プロレス、スキージャンプ、筋肉番付風実況」<br>ローからハイテンションまで、<br>皆様をChromeWorldに招待致しましょう！<br><br>放送内容は<br>「ｇｄｇｄゲームしてくる」「雑談しようず」「テスト配信」<br><br>○パーソナリティー　：　ChromeBread<br>○ゲスト　：　御嬢（妹様）<br>○放送時間　：　大体21:00～00:15の間に放送中。後は気まぐれ。<br>○概要　：　<font color=""ff0000"">当コミュは基本、オンラインゲームにてニコ生専用部屋作成は行いません。</font><br><br><br><font color=""0000ff"" size=""3"">◆マイリスト</font><br><br>歌ってみた⇒mylist/22231914<br>ニコ生補完⇒mylist/22216357<br><br><br><font color=""0000ff"" size=""3"">◆コミュリンク</font><br><br><font color=""00b400"">♣</font>あぶらげさん【co260782】<br>薄型軽量フレキシブルスピーカーとはまさに彼の事<br><font color=""00b400"">♣</font>談合【穴掘り】さん【co400304】<br>WarRockをやっているが…恐ろしい奴よﾌﾌﾌ<br><font color=""00b400"">♣</font>Snow@コヒ～さん【co393842】<br>魅惑のボイスでペーパーマンを…<br><font color=""00b400"">♣</font>とらごんさん【co309696】<br>昔から一緒にペーパーマンしてた人～<br><font color=""00b400"">♣</font>ナナス・ベラドンナさん【co62868】<br>BGMの頻度が高くて楽しい！<br><font color=""00b400"">♣</font>tsukasaさん【co267221】<br>こやつがレースゲーやりおると何かが起こるぞ！（笑<br><font color=""cc3333"">♦</font>ふぶきんぐさん【co405529】<br>L4D2配信は色々良い思い出であ～る<br><font color=""cc3333"">♦</font>みんとりーさん【co339310】<br>たまにお邪魔させてもらったり～<br><br>リンク追加には一声かけて下さい。<br>※声かけてくれないと勝手に私が追加する場合があるかも知れません（えーｗ<br><br><br><font color=""0000ff"" size=""3"">◆主な放送</font><br><br>・プラスが取れたら後日は大雨！！<br>　『ペーパーマン（PC）』<br>　キャラ名：bz20<br>　階級37<br>　技術有り。実力無し。<br>　http://zoome.jp/bzultra/diary/34/<br>　放送時の特徴：平均0Kill/7Death--超処理落ちオワタAIM--野良。<br>　※ニコ生専用部屋作成はほぼ行いません。<br>　が、私をフレリスに入れ凸は構いません。<br>　↓PM放送についての報告はこちら↓<br />http://ameblo.jp/bzultra/entry-10561108060.html<br /><br />・ニコ生で最初から今までお付き合い頂き誠に有難う御座いました。<br>　『バイオハザード4（Resident Evil 4 PC/EU版）』<br>　現在EASYの二周目「右手：HPS-12　両足：DDRマットでプレイ」縛り放送中。<br>　↑後々、十分な撮影環境のもとでプレイします。<br><br>・御嬢が無双する！<br>　『デッドライジング ゾンビのいけにえ（Wii）』<br>　　※クロムは実況です。<br><br>・ルリルリは俺の嫁。異論は認めない。<br>　『Another Century&#039;s Episode（PS2）』<br>　　スパロボだけじゃなくこのゲームでもナデシコの機体は強い。<br><br>・俺の妹が(マリオでも)こんなに可愛いわけがない<br>　『New スーパーマリオブラザーズ Wii（Wii）』<br>　まだまだ途中だ！<br><br>・御嬢！DSばかり目を向けず真面目に撃ってくだｓぎゃあああ何故に私だけくらっｔえっ…ちょ（ｒｙ<br>　『バイオハザード / ダークサイド・クロニクルズ（Wii）』<br>　リアル系とかマジ勘弁ｗｗｗ<br>　ノーマル、クリアしました。<br><br>・御嬢助けてええええええ！怒涛の協力プレイ！<br>　『Left 4 Dead（PC）』<br>　クロム「私は御嬢を援護！御嬢は感染者を援護やめっ減ってるっ悔しいっでも感じちゃ」<br>　御嬢「キモッ！」<br>　クロム「えふんえふん！はぁ～いそれでは（ｒｙ」<br>　※L4D2も所持しております。<br><br>・遅れてきたポケモンマスター<br>　『ポケットモンスター ハートゴールド（DS）』<br>　バッジ7個取ったずうぇい！<br><br>・遅れてきたポケモンマスター 第二弾！<br>　『ポケットモンスター ブラック（DS）』<br>　バッジ3個取ったばかりなんだが。<br><br>・例外だ！コミュ掟破りのオンラインゲームニコ生専用部屋作成！<br>　『大乱闘スマッシュブラザーズX（Wii）』<br>　時々御嬢が乱入するよ！<br><br>・第四章までステータス割り振りの存在に気付かなかった私に不備は（ｒｙ<br>　『龍が如く（PS2）』<br>　現在第？章<br><br>・ホラー苦手なんだが女の子全員かわいいから許す。<br>　『零 ～月蝕の仮面～（Wii）』<br>　初めてのホラーゲームにしては完全に選択ミスだ。正直涙目だった（切実）<br>　ノーマル、感動と共にクリアしました。<br><br><br><font color=""0000ff"" size=""3"">◆その他の特別放送</font><br><br>↓こちらへ<br>http://www12.atpages.jp/bzultra/sub6.html<br><br><br><font color=""0000ff"" size=""3"">◆注意事項</font><br><br>・PCが超低スペック<br>・極稀にボイスチェンジャー、エコー利用<br>・こちらが不要だと判断した場合、予告無しにコミュニティから抹消させて頂きます。<br><br><br><font color=""0000ff"" size=""4"">◆最終注意事項</font><br><br>以下に当てはまる方はこちらのコミュニティに入る事をオススメしません。<br>・ゲームにて、同じ場所で6回以上死亡するのを見てウズウズもなく只管イライラする。<br><br><br>ニコニコ用機材等<br>マイク: AT-VD3→直挿し→&quot;Yamaha DS1x Native Audio&quot;<br>マイクスタンド: MDS-2300/CR<br>電子キーボード: CASIO CTK-550<br>キャプチャ: &quot;Flash Media Live Encoder 3.1&quot;+&quot;SCFH DSF&quot;<br>家庭用ゲーム機画面取り込み: &quot;MonsterTV V&quot;→&quot;アマレコTV&quot;<br>携帯ゲーム機画面取り込み: BWC35H01BKA<br>オーディオデバイス: &quot;Realtek AC97 Audio&quot;+&quot;Yamaha DS1x Native Audio&quot;<br>仮想ステミキ: &quot;猿ちぃ&quot;x&quot;Avnex Virtual Audio Device&quot;<br>コメントビューアー: &quot;NiconamaCommentViewer&quot;x&quot;棒読みちゃん&quot;<br>音声加工: FL Studio、Audacity、SoundEngine<br>画像加工: Photoshop<br>動画加工: After Effects<br>音楽生成: ACID<br>動画生成: ニコエンコ、AviUtl<br><br>Gamer&#039;s Profile<br>Web Name: Chrome Bread<br>Real Name: ※private<br>Location: Ehime / Japan<br>Age: ※private<br>Birthday: Sep 2<br>Constellation: Virgo<br>Blood type: AB<br>Gender: Male<br>Website: http://ameblo.jp/bzultra/<br>Email: ※private<br>Gaming Style: n00binator Performance ScoreAttack<br><br>PC Spec<br>Manufacturer: INTELR <br>Processor: Intel(R) Pentium(R) 4 CPU 2.80GHz (2 CPUs) <br>Memory: 2048MB RAM <br>Hard Drive: Maxtor 6Y080P0 <br>Video Card: NVIDIA GeForce 6600 <br>Monitor: LCD-AD191X2 1440 x 900 (32 bit) (60Hz) <br>Sound Card: Realtek AC97 Audio <br>Speakers/Headphones: In-Ear Headphones <br>Keyboard: DPKF1UBK <br>Mouse: Microsoft USB IntelliMouse Explorer 4.0 <br>Mouse Surface: 『BACCANO!』 (Anime) seal <br>Operating System: Windows XP Professional Service Pack 3 <br>Motherboard: PX865PE/PRO <br>Computer Case: B&#039;z<br><br><font color=""0000ff"">Blog: http://ameblo.jp/bzultra/<br>XFire: http://www.xfire.com/profile/chromebread/<br>Steam: http://steamcommunity.com/id/bzultra/<br>Raptr: http://raptr.com/ChromeBread/<br>zoome: http://zoome.jp/bzultra/<br>Twitter: http://twitter.com/chromebread/<br>mixi: http://mixi.jp/show_friend.pl?id=31969278/<br>Ustream: http://www.ustream.tv/user/chromebread/<br>HP: http://www12.atpages.jp/bzultra/<br></font>"
